effective_date,announcement_date,out_symbol,out_name,in_symbol,in_name,source_url
2022-06-13,2022-05-30,300009,安科生物,300058,蓝色光标,https://www.szse.cn/marketServices/message/index/dynamic/t20220530_593483.html
2022-06-13,2022-05-30,300070,碧水源,300363,博腾股份,https://www.szse.cn/marketServices/message/index/dynamic/t20220530_593483.html
2022-06-13,2022-05-30,300146,汤臣倍健,300482,万孚生物,https://www.szse.cn/marketServices/message/index/dynamic/t20220530_593483.html
2022-06-13,2022-05-30,300558,贝达药业,300751,迈为股份,https://www.szse.cn/marketServices/message/index/dynamic/t20220530_593483.html
2022-06-13,2022-05-30,300567,精测电子,300769,德方纳米,https://www.szse.cn/marketServices/message/index/dynamic/t20220530_593483.html
2022-12-12,2022-11-28,300058,蓝色光标,300035,中科电气,https://www.cnindex.com.cn/zh_information/notices_news/2022/202201/t20220118_17965.html
2022-12-12,2022-11-28,300115,长盈精密,300118,东方日升,https://www.cnindex.com.cn/zh_information/notices_news/2022/202201/t20220118_17965.html
2022-12-12,2022-11-28,300383,光环新网,300432,富临精工,https://www.cnindex.com.cn/zh_information/notices_news/2022/202201/t20220118_17965.html
2022-12-12,2022-11-28,300418,昆仑万维,300438,鹏辉能源,https://www.cnindex.com.cn/zh_information/notices_news/2022/202201/t20220118_17965.html
2022-12-12,2022-11-28,300676,华大基因,300850,新强联,https://www.cnindex.com.cn/zh_information/notices_news/2022/202201/t20220118_17965.html
2023-06-12,2023-05-29,300035,中科电气,300308,中际旭创,https://www.szse.cn/marketServices/message/index/dynamic/t20230529_600689.html
2023-06-12,2023-05-29,300088,长信科技,300418,昆仑万维,https://www.szse.cn/marketServices/message/index/dynamic/t20230529_600689.html
2023-06-12,2023-05-29,300296,利亚德,300474,景嘉微,https://www.szse.cn/marketServices/message/index/dynamic/t20230529_600689.html
2023-06-12,2023-05-29,300618,寒锐钴业,300604,长川科技,https://www.szse.cn/marketServices/message/index/dynamic/t20230529_600689.html
2023-06-12,2023-05-29,300482,万孚生物,301269,华大九天,https://www.szse.cn/marketServices/message/index/dynamic/t20230529_600689.html
2023-12-11,2023-11-27,300037,新宙邦,300114,中航电测,https://www.szse.cn/marketServices/message/index/dynamic/t20231127_604734.html
2023-12-11,2023-11-27,300432,富临精工,300394,天孚通信,https://www.szse.cn/marketServices/message/index/dynamic/t20231127_604734.html
2023-12-11,2023-11-27,300677,英科医疗,300502,新易盛,https://www.szse.cn/marketServices/message/index/dynamic/t20231127_604734.html
2023-12-11,2023-11-27,300748,金力永磁,300803,指南针,https://www.szse.cn/marketServices/message/index/dynamic/t20231127_604734.html
2023-12-11,2023-11-27,300850,新强联,301236,软通动力,https://www.szse.cn/marketServices/message/index/dynamic/t20231127_604734.html
2024-06-17,2024-06-03,300363,博腾股份,300002,神州泰岳,https://www.szse.cn/marketServices/message/index/dynamic/t20240531_607513.html
2024-06-17,2024-06-03,300438,鹏辉能源,300017,网宿科技,https://www.szse.cn/marketServices/message/index/dynamic/t20240531_607513.html
2024-06-17,2024-06-03,300595,欧普康视,300442,润泽科技,https://www.szse.cn/marketServices/message/index/dynamic/t20240531_607513.html
2024-06-17,2024-06-03,300661,圣邦股份,300476,胜宏科技,https://www.szse.cn/marketServices/message/index/dynamic/t20240531_607513.html
2024-06-17,2024-06-03,301269,华大九天,301308,江波龙,https://www.szse.cn/marketServices/message/index/dynamic/t20240531_607513.html
2024-12-16,2024-12-02,300253,卫宁健康,300339,润和软件,https://www.szse.cn/disclosure/notice/general/t20241202_610741.html
2024-12-16,2024-12-02,300390,天华新能,300346,南大光电,https://www.szse.cn/disclosure/notice/general/t20241202_610741.html
2024-12-16,2024-12-02,300568,星源材质,300573,兴齐眼药,https://www.szse.cn/disclosure/notice/general/t20241202_610741.html
2024-12-16,2024-12-02,300601,康泰生物,300735,光弘科技,https://www.szse.cn/disclosure/notice/general/t20241202_610741.html
