index_code,expected_period,effective_date,symbol,universe_mode,qualification_scope
931152,2019-04,2019-04-22,000513,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,000963,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002019,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002294,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002317,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002422,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002773,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,002821,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300003,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300009,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300142,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300347,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300357,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300558,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300601,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,300725,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600196,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600216,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600267,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600276,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600351,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600521,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600535,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600721,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,600867,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,601607,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,603127,point_in_time,historical_design_research_input_only
931152,2019-04,2019-04-22,603259,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,000513,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,000963,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002019,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002294,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002317,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002422,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002773,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,002821,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300003,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300009,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300142,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300347,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300357,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300558,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300601,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,300725,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600196,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600216,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600267,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600276,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600351,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600521,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600535,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,600867,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,601607,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,603127,point_in_time,historical_design_research_input_only
931152,2019-06,2019-06-17,603259,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,000513,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,000963,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002019,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002020,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002294,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002317,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002399,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002422,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002653,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002675,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002773,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,002821,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300003,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300009,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300122,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300149,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300238,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300347,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300357,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300404,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300558,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300601,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300725,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,300759,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600196,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600216,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600267,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600276,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600380,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600535,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600812,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,600867,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,601607,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,603127,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,603259,point_in_time,historical_design_research_input_only
931152,2019-12,2019-12-16,603456,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000513,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000661,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,000963,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002019,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002020,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002038,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002294,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002317,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002399,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002422,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002653,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002675,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002773,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002793,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,002821,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300003,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300009,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300122,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300142,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300149,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300238,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300347,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300357,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300404,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300558,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300601,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300725,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,300759,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600079,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600196,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600216,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600267,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600276,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600380,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600535,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600673,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600812,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,600867,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,601607,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603127,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603259,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603456,point_in_time,historical_design_research_input_only
931152,2020-06,2020-06-15,603858,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000513,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000661,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,000963,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002007,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002019,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002020,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002038,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002294,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002317,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002399,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002422,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002653,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002675,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002773,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002793,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,002821,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300003,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300009,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300122,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300142,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300149,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300199,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300238,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300347,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300357,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300404,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300558,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300601,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300725,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,300759,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600079,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600196,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600216,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600267,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600276,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600380,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600535,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600673,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600812,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,600867,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603127,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603259,point_in_time,historical_design_research_input_only
931152,2020-12,2020-12-14,603456,point_in_time,historical_design_research_input_only
