symbol,effective_start,effective_end,source_index,universe_mode,qualification_scope
000513,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
000661,2020-06-15,2023-12-10,931152,point_in_time,historical_design_research_input_only
000963,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
002007,2020-12-14,2023-12-31,931152,point_in_time,historical_design_research_input_only
002019,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
002020,2019-12-16,2021-12-12,931152,point_in_time,historical_design_research_input_only
002020,2022-12-12,2023-06-11,931152,point_in_time,historical_design_research_input_only
002020,2023-12-11,2023-12-31,931152,point_in_time,historical_design_research_input_only
002038,2020-06-15,2023-06-11,931152,point_in_time,historical_design_research_input_only
002099,2021-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
002294,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
002317,2019-04-22,2022-06-12,931152,point_in_time,historical_design_research_input_only
002317,2022-12-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
002399,2019-12-16,2023-12-10,931152,point_in_time,historical_design_research_input_only
002422,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
002653,2019-12-16,2022-12-11,931152,point_in_time,historical_design_research_input_only
002653,2023-06-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
002675,2019-12-16,2023-12-31,931152,point_in_time,historical_design_research_input_only
002773,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
002793,2020-06-15,2021-12-12,931152,point_in_time,historical_design_research_input_only
002821,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300003,2019-04-22,2021-12-12,931152,point_in_time,historical_design_research_input_only
300009,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300122,2019-12-16,2023-12-31,931152,point_in_time,historical_design_research_input_only
300142,2019-04-22,2019-12-15,931152,point_in_time,historical_design_research_input_only
300142,2020-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
300149,2019-12-16,2022-06-12,931152,point_in_time,historical_design_research_input_only
300199,2020-12-14,2021-06-14,931152,point_in_time,historical_design_research_input_only
300238,2019-12-16,2021-06-14,931152,point_in_time,historical_design_research_input_only
300347,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300357,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300363,2021-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
300404,2019-12-16,2021-06-14,931152,point_in_time,historical_design_research_input_only
300558,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300601,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300725,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
300759,2019-12-16,2023-12-31,931152,point_in_time,historical_design_research_input_only
301201,2022-06-13,2022-12-11,931152,point_in_time,historical_design_research_input_only
600079,2020-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
600196,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
600216,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
600267,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
600276,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
600351,2019-04-22,2019-12-15,931152,point_in_time,historical_design_research_input_only
600380,2019-12-16,2023-12-31,931152,point_in_time,historical_design_research_input_only
600521,2019-04-22,2019-12-15,931152,point_in_time,historical_design_research_input_only
600535,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
600673,2020-06-15,2021-12-12,931152,point_in_time,historical_design_research_input_only
600721,2019-04-22,2019-06-16,931152,point_in_time,historical_design_research_input_only
600812,2019-12-16,2023-06-11,931152,point_in_time,historical_design_research_input_only
600867,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
601607,2019-04-22,2020-12-13,931152,point_in_time,historical_design_research_input_only
601607,2021-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
603127,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
603229,2021-06-15,2023-12-10,931152,point_in_time,historical_design_research_input_only
603259,2019-04-22,2023-12-31,931152,point_in_time,historical_design_research_input_only
603392,2023-06-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
603456,2019-12-16,2023-12-31,931152,point_in_time,historical_design_research_input_only
603858,2020-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
688131,2022-12-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
688177,2021-06-15,2022-06-12,931152,point_in_time,historical_design_research_input_only
688177,2023-12-11,2023-12-31,931152,point_in_time,historical_design_research_input_only
688180,2021-12-13,2023-12-31,931152,point_in_time,historical_design_research_input_only
688185,2021-12-13,2023-12-31,931152,point_in_time,historical_design_research_input_only
688192,2023-12-11,2023-12-31,931152,point_in_time,historical_design_research_input_only
688202,2021-06-15,2023-12-31,931152,point_in_time,historical_design_research_input_only
688222,2021-06-15,2022-12-11,931152,point_in_time,historical_design_research_input_only
688235,2023-06-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
688238,2023-06-12,2023-12-10,931152,point_in_time,historical_design_research_input_only
688266,2021-06-15,2023-06-11,931152,point_in_time,historical_design_research_input_only
688266,2023-12-11,2023-12-31,931152,point_in_time,historical_design_research_input_only
688278,2022-12-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
688315,2022-06-13,2023-12-31,931152,point_in_time,historical_design_research_input_only
688321,2020-12-14,2023-12-10,931152,point_in_time,historical_design_research_input_only
688331,2023-06-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
688505,2021-12-13,2022-06-12,931152,point_in_time,historical_design_research_input_only
688520,2021-12-13,2022-12-11,931152,point_in_time,historical_design_research_input_only
688520,2023-06-12,2023-12-31,931152,point_in_time,historical_design_research_input_only
688578,2022-06-13,2023-06-11,931152,point_in_time,historical_design_research_input_only
688578,2023-12-11,2023-12-31,931152,point_in_time,historical_design_research_input_only
688658,2022-06-13,2023-06-11,931152,point_in_time,historical_design_research_input_only
