year,holiday,closed_start,closed_end,announcement_id,source_url
2022,New Year,2022-01-01,2022-01-03,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,Spring Festival,2022-01-31,2022-02-06,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,Qingming,2022-04-03,2022-04-05,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,Labour Day,2022-04-30,2022-05-04,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,Dragon Boat,2022-06-03,2022-06-05,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,Mid-Autumn,2022-09-10,2022-09-12,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2022,National Day,2022-10-01,2022-10-07,SSE-2021-37,https://www.sse.com.cn/disclosure/announcement/general/c/c_20211220_5662606.shtml
2023,New Year,2022-12-31,2023-01-02,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2023,Spring Festival,2023-01-21,2023-01-27,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2023,Qingming,2023-04-05,2023-04-05,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2023,Labour Day,2023-04-29,2023-05-03,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2023,Dragon Boat,2023-06-22,2023-06-24,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2023,Mid-Autumn and National Day,2023-09-29,2023-10-06,SSE-2022-51,https://www.sse.com.cn/disclosure/announcement/general/c/c_20221227_5714458.shtml
2024,New Year,2023-12-30,2024-01-01,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,Spring Festival,2024-02-09,2024-02-17,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,Qingming,2024-04-04,2024-04-06,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,Labour Day,2024-05-01,2024-05-05,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,Dragon Boat,2024-06-10,2024-06-10,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,Mid-Autumn,2024-09-15,2024-09-17,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2024,National Day,2024-10-01,2024-10-07,SSE-2023-47,https://www.sse.com.cn/disclosure/announcement/general/c/c_20231226_5733939.shtml
2025,New Year,2025-01-01,2025-01-01,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,Spring Festival,2025-01-28,2025-02-04,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,Qingming,2025-04-04,2025-04-06,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,Labour Day,2025-05-01,2025-05-05,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,Dragon Boat,2025-05-31,2025-06-02,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2025,National Day and Mid-Autumn,2025-10-01,2025-10-08,SSE-2024-38,https://www.sse.com.cn/disclosure/announcement/general/c/c_20241223_10767108.shtml
2026,New Year,2026-01-01,2026-01-03,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,Spring Festival,2026-02-15,2026-02-23,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,Qingming,2026-04-04,2026-04-06,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,Labour Day,2026-05-01,2026-05-05,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,Dragon Boat,2026-06-19,2026-06-21,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,Mid-Autumn,2026-09-25,2026-09-27,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
2026,National Day,2026-10-01,2026-10-07,SSE-2025-45,https://www.sse.com.cn/disclosure/announcement/general/c/c_20251222_10802507.shtml
