effective_date,announcement_date,out_symbol,out_name,in_symbol,in_name,source_url
2021-06-15,2021-05-28,688015,交控科技,688065,凯赛生物,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210528_5476669.shtml
2021-06-15,2021-05-28,688030,山石网科,688185,康希诺-U,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210528_5476669.shtml
2021-06-15,2021-05-28,688101,三达膜,688289,圣湘生物,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210528_5476669.shtml
2021-06-15,2021-05-28,688138,清溢光电,688521,芯原股份-U,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210528_5476669.shtml
2021-06-15,2021-05-28,688299,长阳科技,689009,九号公司-WD,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210528_5476669.shtml
2021-09-13,2021-08-27,688020,方邦股份,688063,派能科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210827_5560885.shtml
2021-09-13,2021-08-27,688066,航天宏图,688536,思瑞浦,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210827_5560885.shtml
2021-09-13,2021-08-27,688098,申联生物,688608,恒玄科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210827_5560885.shtml
2021-09-13,2021-08-27,688389,普门科技,688777,中控技术,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210827_5560885.shtml
2021-09-13,2021-08-27,688567,孚能科技,688819,天能股份,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20210827_5560885.shtml
2021-12-13,2021-11-26,688007,光峰科技,688083,中望软件,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20211126_5644497.shtml
2021-12-13,2021-11-26,688018,乐鑫科技,688303,大全能源,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20211126_5644497.shtml
2021-12-13,2021-11-26,688019,安集科技,688390,固德威,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20211126_5644497.shtml
2021-12-13,2021-11-26,688100,威胜信息,688686,奥普特,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20211126_5644497.shtml
2021-12-13,2021-11-26,688278,特宝生物,688696,极米科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20211126_5644497.shtml
2022-03-14,2022-02-25,688001,华兴源创,688161,威高骨科,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220225_5695296.shtml
2022-03-14,2022-02-25,688158,优刻得-W,688202,美迪西,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220225_5695296.shtml
2022-03-14,2022-02-25,688166,博瑞医药,688276,百克生物,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220225_5695296.shtml
2022-03-14,2022-02-25,688266,泽璟制药-U,688538,和辉光电-U,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220225_5695296.shtml
2022-03-14,2022-02-25,688321,微芯生物,688690,纳微科技,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220225_5695296.shtml
2022-06-13,2022-05-27,688016,心脉医疗,688187,时代电气,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220527_5702708.shtml
2022-06-13,2022-05-27,688023,安恒信息,688223,晶科能源,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220527_5702708.shtml
2022-06-13,2022-05-27,688088,虹软科技,688728,格科微,https://www.sse.com.cn/market/sseindex/diclosure/c/c_20220527_5702708.shtml
